mfcc1,mfcc2,rms,mean,beat,tempo,centroid,zcr,rolloff,TYPE
26734.926387,53078.300791,44.732809,-7.483912,41400.0,18457.03125,3536.414293,9551,5875.750455,angry
28760.761555,57267.370759,62.302683,-7.831485,18000.0,9228.515625,3006.155439,8291,5078.759766,angry
26468.860924,54801.163584,59.109714,-7.958513,13000.0,7177.734375,3958.518126,12479,6158.617067,angry
29306.44753,59361.867819,43.720558,-7.746242,15000.0,6983.741554,3550.417452,11400,5929.400572,angry
23153.675964,45159.49685,45.984142,-7.4344,21000.0,12919.921875,2775.687228,5580,4747.343816,angry
27930.326189,55998.998522,55.977792,-7.627356,21000.0,17226.5625,3265.575806,9258,5455.741285,angry
24808.914392,52124.535097,59.602071,-7.940588,26333.333333,17226.5625,3390.989575,10177,5458.291413,angry
21736.269062,39997.518122,90.443172,-6.253853,31333.333333,11745.383523,3300.097003,7723,5423.564921,angry
31844.508781,59841.518947,39.262794,-7.446014,14000.0,6799.958882,3073.974956,8769,5247.45834,angry
24551.952119,51874.258798,60.955755,-7.851237,27000.0,9938.401442,3245.877666,8874,5662.86116,angry
25365.763814,53482.592538,57.812318,-7.987736,25333.333333,17226.5625,3277.216864,9491,5433.463357,angry
24321.934309,41863.696181,84.349699,-6.176677,30000.0,13599.917763,2540.06824,5475,4088.882317,angry
27977.773516,57586.385439,59.540242,-7.87463,34666.666667,7830.255682,3125.950807,9363,5075.879945,angry
26045.901879,55586.730857,49.923677,-8.115612,14000.0,7599.954044,2874.357128,8681,4748.307918,angry
28145.389524,56741.226612,46.550095,-7.446832,18500.0,7830.255682,3168.752457,8841,5467.302704,angry
29853.035487,62599.507157,55.561293,-7.948171,52000.0,7599.954044,3839.173328,13344,6180.342887,angry
30837.887909,58664.661967,43.369018,-7.400738,19000.0,7599.954044,3667.716533,10869,5750.854232,angry
25803.632704,53631.062909,59.627213,-8.089369,28000.0,8074.951172,3351.850719,10125,5194.008903,angry
22644.875943,44277.053119,66.347443,-6.845626,30666.666667,12304.6875,3329.53251,8341,5657.099548,angry
28389.994682,61570.654085,46.522386,-8.053558,43666.666667,10335.9375,3853.771437,14455,5945.045605,angry
29441.628437,59129.434723,43.032046,-7.651496,27000.0,13599.917763,3756.908062,12073,5917.080028,angry
28936.64286,58728.142467,48.61103,-7.758204,43500.0,14355.46875,3910.166262,12339,6079.989624,angry
28464.313747,61258.620525,44.387314,-8.365894,19500.0,7830.255682,3828.681954,13483,5942.06543,angry
23327.762246,44230.68953,93.918577,-6.451521,35500.0,9228.515625,3939.643515,11479,5963.235135,angry
29325.4537,54834.90062,57.155862,-7.00809,17000.0,7599.954044,3237.653044,9667,5612.948843,angry
28705.905662,59383.212274,68.756774,-7.988882,41666.666667,11234.714674,3147.22239,10287,4992.78717,angry
27998.190201,57853.676206,38.212851,-7.856706,47800.0,19876.802885,4068.470732,12945,6332.801706,angry
26071.24939,53400.320891,52.338824,-7.853182,48250.0,18457.03125,3246.543657,8445,5385.652108,angry
23519.094863,46992.398234,52.760717,-7.156494,33000.0,12304.6875,3297.323986,8757,5614.388815,angry
24316.960255,51057.411458,70.150435,-7.864839,61500.0,19876.802885,3270.3676,8725,5455.880342,angry
24155.278678,43830.428558,70.726909,-6.47209,32000.0,12304.6875,2786.745399,6277,4602.297171,angry
29720.354047,57787.910634,34.281902,-7.627054,35000.0,6625.600962,3517.524516,9749,5824.029276,angry
30332.124279,61953.41319,40.807225,-7.905324,17000.0,6302.400915,3800.332045,12307,5905.050293,angry
31070.661071,63651.910721,44.381458,-7.90807,29500.0,9570.3125,3573.249802,11653,5759.818246,angry
28490.816624,57254.279107,48.567284,-7.649856,43250.0,13599.917763,3368.084765,9375,5778.114351,angry
26912.303316,54514.989119,49.885016,-7.753564,13000.0,6983.741554,3373.849855,8416,5903.001009,angry
25484.983392,45234.401203,110.695198,-6.249816,13000.0,8074.951172,2774.656207,6380,4696.146287,angry
23620.624623,49103.731949,69.094777,-7.865156,16000.0,9570.3125,3232.35964,8595,5364.558919,angry
24127.485662,41546.503888,114.855818,-5.655526,15000.0,10766.601562,3040.893976,7798,5226.555842,angry
27412.545159,57553.244841,66.591948,-8.102339,18000.0,7599.954044,3264.08196,11251,5371.029171,angry
23174.131056,41849.056734,99.990331,-5.835914,20000.0,18457.03125,3551.981674,10464,5541.031494,angry
28672.561285,57518.094692,41.552808,-7.754176,24000.0,6302.400915,3919.345662,12017,6368.618479,angry
31456.420886,64967.283289,41.875236,-7.757144,29000.0,11745.383523,3681.001668,14505,5871.087646,angry
28856.348788,56496.184247,47.752276,-7.510825,35333.333333,14355.46875,3546.949285,9993,6010.806407,angry
25206.733061,43966.743162,98.046027,-5.650606,22000.0,15199.908088,2937.581502,7175,5014.38253,angry
30383.640176,61464.196008,35.373349,-7.77014,42500.0,13599.917763,3917.989312,13533,6082.914551,angry
28022.355834,60020.608817,59.303302,-7.999562,45000.0,9228.515625,3847.386429,13127,6079.253906,angry
30369.812112,60497.876242,41.51969,-7.928438,18000.0,7382.8125,3045.087278,9345,5031.402909,angry
30917.519557,61395.701212,32.947041,-7.544104,40142.857143,19876.802885,3721.343174,11841,6041.129477,angry
28251.658147,59438.775316,51.264863,-8.207137,33000.0,12919.921875,3089.861823,8919,5192.448602,angry
26141.00973,54367.468048,81.061788,-8.01888,18000.0,9570.3125,3088.063065,8677,5298.513794,angry
29736.205173,56545.711465,53.950604,-7.285192,33500.0,6625.600962,3213.124104,8476,5530.054242,angry
24648.112555,45819.385699,77.486441,-6.154439,43000.0,8074.951172,3531.982521,10283,5814.716002,angry
30164.839047,56712.091226,40.348485,-7.374236,15000.0,7177.734375,3085.464028,8454,5060.422363,angry
27925.267822,57079.611646,47.575161,-7.592277,35000.0,13599.917763,3614.213276,12623,5706.41098,angry
28116.18277,54696.736456,50.778136,-7.302349,19000.0,8910.290948,3318.452028,9995,5602.41887,angry
25289.1943,46552.622817,88.269621,-5.972874,20500.0,16149.902344,3251.489768,10194,5175.831998,angry
25976.259516,54237.773221,64.630844,-7.764152,33666.666667,13599.917763,3820.572846,12137,5961.739408,angry
30314.3078,64732.773597,40.8548,-8.117562,47750.0,12919.921875,3382.493504,12250,5620.166016,angry
29641.307364,61613.062468,49.810313,-8.240143,25500.0,9570.3125,3740.887346,13135,5611.95232,angry
27915.44986,53623.060333,61.469276,-7.141002,19500.0,8074.951172,3257.085034,9779,5283.051758,angry
27223.38258,53956.075896,54.59841,-7.26432,35000.0,13599.917763,3952.385665,11755,6386.584207,angry
27976.466506,54666.966945,38.540158,-7.669684,16500.0,9570.3125,2899.324775,7145,5069.95555,angry
24919.398301,44023.404223,84.409907,-6.202598,22500.0,11234.714674,2689.851366,6365,4643.201793,angry
26882.174565,46696.043859,98.559439,-6.040814,24000.0,10335.9375,2676.229989,6651,4466.432748,angry
26749.406161,56214.167056,46.148222,-8.006727,26500.0,9570.3125,3532.234399,11585,5515.308679,angry
26509.88564,47831.546837,117.003679,-6.271076,36333.333333,10766.601562,2945.31141,7695,4588.978918,angry
28001.415784,48913.681818,102.231637,-6.009271,25000.0,10335.9375,2917.699744,8156,4666.269868,angry
28987.323199,57442.851055,38.965028,-7.649336,19500.0,9228.515625,3412.243979,9913,5657.328157,angry
31121.069689,62311.212961,39.63523,-7.720332,38400.0,14355.46875,3711.41342,13023,5648.84142,angry
28429.548045,55741.524962,53.828217,-7.58666,25000.0,12919.921875,3252.875633,9201,5362.724609,angry
27939.476995,60373.491729,44.835493,-8.446357,18500.0,7599.954044,4138.089662,14667,6262.573242,angry
27120.451494,47153.418664,85.731179,-5.962192,35666.666667,10766.601562,2814.064215,6569,4628.741455,angry
29413.318151,59907.380523,47.793716,-7.941162,55000.0,15199.908088,3431.013109,10571,5544.911957,angry
27807.979799,60346.111688,39.342891,-8.300544,45000.0,12919.921875,3349.520085,10551,5479.431152,angry
26453.097,55551.072613,35.69337,-7.907058,30500.0,7382.8125,3492.204717,9825,5785.409944,angry
27014.804559,53275.580882,40.633492,-7.5462,15000.0,7599.954044,3396.443371,9247,5545.294821,angry
25184.311131,43513.874236,89.80681,-5.588282,16500.0,8910.290948,2928.295867,6977,5075.139637,angry
26270.848415,45685.414073,100.427099,-5.64377,35000.0,12304.6875,3410.079199,9490,5537.288222,angry
26594.566511,46671.714922,101.749368,-5.769296,24500.0,10335.9375,2894.158606,7620,5022.929014,angry
28959.178141,56726.87312,52.755356,-7.628487,33333.333333,13599.917763,3480.494181,10593,5598.396184,angry
24238.784164,46932.306848,58.785971,-7.368026,33000.0,11745.383523,2829.786492,6274,4871.537642,angry
31635.416918,62785.063789,34.907866,-7.946338,25500.0,13599.917763,2953.878199,8715,4950.878906,angry
31907.447545,62918.555412,58.144793,-7.910997,21000.0,8335.433468,2816.478457,8991,4628.649902,angry
30096.777271,61227.046328,35.235107,-7.941394,27000.0,12304.6875,3889.336907,13539,5952.722168,angry
30425.019626,57588.267883,44.571862,-7.381318,34666.666667,14355.46875,3247.701025,9165,5304.423722,angry
26467.438344,52202.248664,59.568036,-7.311025,26500.0,12304.6875,3497.902342,10755,5795.979725,angry
26144.650109,48455.218677,67.079641,-6.802002,23000.0,9938.401442,2732.503268,6449,4717.609685,angry
27053.201929,54993.481712,57.810634,-8.028816,30333.333333,12919.921875,3045.050707,7717,5464.978448,angry
28317.041036,58994.534606,53.584661,-8.158908,33000.0,8613.28125,3349.686062,11141,5602.985268,angry
30421.000621,59550.092804,46.460871,-7.830402,19000.0,8613.28125,3112.884658,9139,5295.08411,angry
30786.336698,61626.7147,62.703244,-8.031348,30000.0,9228.515625,2900.889046,9045,4748.968506,angry
31236.356512,62895.666793,38.37442,-7.759634,19500.0,7830.255682,3474.224633,11618,5722.026511,angry
25235.641934,50210.14518,63.614339,-7.26003,24500.0,10335.9375,3182.027125,8782,5260.361215,angry
24666.944935,49400.943087,67.28667,-7.190116,25000.0,10766.601562,3041.489802,8407,5253.100018,angry
27095.653121,54230.533948,49.417008,-7.708772,20000.0,25839.84375,3295.742054,9245,5574.652654,angry
29246.206227,58531.024203,36.457945,-7.788516,24000.0,6302.400915,3256.697808,9509,5455.574458,angry
27122.357947,56747.936115,59.174165,-8.050428,28500.0,9228.515625,3432.359212,10743,5425.665018,angry
32187.37411,65247.154693,66.3362,-8.183114,19000.0,8074.951172,3254.430574,10669,5211.035156,angry
28803.439501,56030.990936,44.666771,-7.480097,18500.0,9228.515625,3831.332342,12686,5772.554838,angry
24853.728155,44866.385772,56.361087,-6.253954,16000.0,9938.401442,3463.680409,9063,5621.377258,angry
28739.194397,59315.291348,48.68497,-8.493361,14000.0,6625.600962,2904.779001,8515,4648.540039,angry
28937.085413,57028.720741,42.349067,-7.633596,17500.0,8910.290948,2975.893557,7999,5246.377696,angry
27023.504528,50874.008682,63.07207,-7.183886,23000.0,10766.601562,2578.180681,6343,4434.153509,angry
28139.844021,55383.577621,33.190146,-7.82866,31333.333333,14355.46875,2931.678652,7257,4972.932381,angry
28449.841747,52562.600216,54.226879,-6.928953,16500.0,9228.515625,2659.300439,7025,4552.168642,angry
30596.142878,56320.07704,45.507073,-7.067014,43800.0,17226.5625,2950.640148,8137,5038.532903,angry
32010.935247,61410.079391,43.27758,-7.424027,46000.0,9228.515625,3792.029835,13761,5915.866921,angry
